"consumo_energia","num_moradores","area_m2","temperatura_media","renda_familiar","uso_ar_condicionado","tipo_construcao","equipamentos_eletro","potencia_total_equipamentos"
298.172211244708,3,199.987908207535,18.5491668017263,7967.0267106653,"Sim","Casa",5,6.66146036002348
276.437503407579,6,147.06284118072,19.9742518929527,6754.43789060731,"Sim","Apartamento",10,12.2981525047516
244.938858628233,3,185.592231978629,23.6609074653193,5835.52869915042,"Não","Casa",11,11.0444455606408
248.899036080979,2,137.859601456698,23.9979106625131,5279.10544456168,"Sim","Apartamento",6,8.58566487084379
262.355850233105,2,129.98283819555,21.536936945047,6093.78611169029,"Sim","Casa",10,12.8941444193966
321.442776433541,6,161.976812702521,26.452632989796,7706.70557050031,"Sim","Apartamento",8,10.1697070298098
297.565280096917,3,151.890913469489,27.1027606888168,7816.88820809606,"Sim","Apartamento",9,10.7528394315122
298.655495828812,5,113.720590319652,19.7941832792076,6787.93428153411,"Sim","Apartamento",11,12.1530062403547
292.702208211661,4,119.952147724772,24.5502092948382,8233.82500640653,"Sim","Apartamento",10,10.5901266038854
271.691203126952,6,107.909848139963,25.0234941305288,6101.12889453401,"Sim","Casa",11,11.7571276551009
307.123522004305,6,159.741122105132,22.1519434816647,8936.93438446838,"Sim","Casa",10,8.46767121233024
175.811297498693,1,104.066060731142,22.3865633271619,3996.37378666732,"Sim","Casa",10,14.8780427257387
232.567642089321,2,125.033254231544,27.5380716050653,6547.18371791364,"Sim","Casa",6,8.79274242180908
244.166790662232,3,82.3818533091142,24.6584173775285,2372.23779397281,"Sim","Casa",11,11.770001276175
316.03740185872,5,161.237977575909,22.1923609021184,6935.86488326054,"Sim","Casa",18,21.4106662577437
258.712345642236,3,159.235678379919,23.7115338513603,1250.12137892135,"Não","Casa",13,15.1520781330251
261.057497774412,3,91.0378584303756,21.0045684162808,5429.71750320281,"Sim","Casa",13,15.2085875791204
244.476339257171,1,84.4932741347605,24.667296087549,6157.30372137433,"Sim","Apartamento",12,14.0582042410765
317.942617707782,4,142.901940631132,24.1830418667732,7010.35616861667,"Sim","Casa",9,11.8316132837862
262.212475278373,1,114.438660256917,30.3409370661299,4810.03273022353,"Sim","Casa",11,12.9581944741225
186.972753256781,1,117.619348226162,21.093342680246,4873.3079528347,"Não","Casa",9,11.2177758151464
257.303486820225,5,141.066299207305,21.0774543947927,6096.46906666295,"Sim","Casa",7,9.5113081514563
274.331557977544,3,150.783234342044,16.3751764579594,4856.89157407611,"Sim","Casa",4,5.5012949954631
224.550762184689,2,92.8538628952296,25.101377820836,6952.82515936988,"Não","Apartamento",17,20.2219705622421
227.221004048437,2,54.7336058532175,21.9953630686841,7087.79706543826,"Sim","Casa",9,11.4090791645554
208.273103633348,1,144.82815384121,18.7365856591742,3547.62849135852,"Não","Apartamento",9,7.21175313978826
226.128025646505,6,81.8495440807512,19.5698589712007,5353.57382368624,"Sim","Casa",6,6.44201057659023
270.459745879928,3,122.158414789485,21.7234919098131,8480.22317105883,"Sim","Casa",9,13.0312167141745
194.995469688553,4,84.4818384644435,20.5370079198198,4976.81228029316,"Sim","Apartamento",9,11.2645454636022
257.020655568601,6,123.94146203225,20.0773695655134,4749.23241853697,"Sim","Apartamento",6,9.36445957496184
187.423862870425,1,115.504427095282,17.9857556007017,7937.00537407066,"Sim","Casa",7,7.91079288798726
292.322680429996,3,162.481303565082,19.6674879515794,3510.37646601796,"Sim","Casa",10,10.4795392762201
264.331918685284,5,117.102637545218,22.1749485609114,5191.76187493712,"Sim","Casa",13,14.1883815300504
200.926643350471,4,103.266345426611,19.0545742818826,4685.79549101957,"Não","Casa",9,10.8744746149531
248.673717780747,2,110.446249941796,19.4770319035303,2990.40061548491,"Sim","Casa",11,11.2225049246042
216.646462390078,5,113.383742633688,17.9924107180459,5481.1370216446,"Sim","Casa",7,10.196467416548
184.065977865927,1,102.610555693529,17.9905498729347,6415.61970722399,"Sim","Apartamento",7,8.8071616503646
195.330920142948,1,125.667539580029,19.4810772394911,4656.30530129407,"Não","Casa",6,6.69707285737876
